locale,af,agq,ak,am,ar,as,asa,ast,az,bas,be,bem,bez,bg,bm,bn,bo,br,brx,bs,ca,ccp,ce,ceb,cgg,chr,ckb,cs,cy,da,dav,de,dje,doi,dsb,dua,dyo,dz,ebu,ee,el,en,eo,es,et,eu,ewo,fa,ff,fi,fil,fo,fr,fur,fy,ga,gd,gl,gsw,gu,guz,gv,ha,haw,he,hi,hr,hsb,hu,hy,ia,id,ig,ii,is,it,ja,jgo,jmc,jv,ka,kab,kam,kde,kea,khq,ki,kk,kkj,kl,kln,km,kn,ko,kok,ks,ksb,ksf,ksh,ku,kw,ky,lag,lb,lg,lkt,ln,lo,lrc,lt,lu,luo,luy,lv,mai,mas,mer,mfe,mg,mgh,mgo,mi,mk,ml,mn,mni,mr,ms,mt,mua,my,mzn,naq,nb,nd,ne,nl,nmg,nn,nnh,no,nus,nyn,om,or,os,pa,pcm,pl,ps,pt,qu,rm,rn,ro,rof,ru,rw,rwk,sa,sah,saq,sat,sbp,sc,sd,se,seh,ses,sg,shi,si,sk,sl,smn,sn,so,sq,sr,su,sv,sw,ta,te,teo,tg,th,ti,tk,to,tr,tt,twq,tzm,ug,uk,ur,uz,vai,vi,vun,wae,wo,xh,xog,yav,yi,yo,yue,zgh,zh,zu
af,Afrikaans,af,af,አፍሪካንኛ,الأفريقانية,আফ্ৰিকানছ্,af,afrikaans,afrikaans,af,афрыкаанс,af,af,африканс,af,আফ্রিকান,af,afrikaans,अफ्रीकी,afrikans,afrikaans,𑄃𑄜𑄳𑄢𑄨𑄇𑄚𑄴,африкаанс,af,af,ᎠᎬᎿᎨᏍᏛ,ئەفریکانس,afrikánština,Affricâneg,afrikaans,af,Afrikaans,af,af,afrikans,af,af,ཨཕ་རི་ཀཱནས་ཁ,af,afrikaangbe,Αφρικάανς,Afrikaans,afrikansa,afrikáans,afrikaani,afrikaans,af,آفریکانس,af,afrikaans,Afrikaans,afrikaans,afrikaans,afrikaans,Afrikaansk,Afracáinis,Afraganais,afrikaans,Afrikaans,આફ્રિકન્સ,af,af,Afirkanci,af,אפריקאנס,अफ़्रीकी,afrikaans,afrikaanšćina,afrikaans,աֆրիկաանս,afrikaans,Afrikaans,Afrikaans,af,afríkanska,afrikaans,アフリカーンス語,af,af,Afrika,აფრიკაანსი,af,af,af,afrikaner,af,af,африкаанс тілі,af,af,af,អាហ្វ្រិកាន,ಆಫ್ರಿಕಾನ್ಸ್,아프리칸스어,अफ्रिकान्स,اَفریٖکانز,af,af,Afrikaans,afrîkansî,af,африкаанча,af,Afrikaans,af,Afrikaans Iyápi,af,ອາຟຣິການ,آفریکانس,afrikanų,af,af,af,afrikandu,af,af,af,af,af,af,af,af,африканс,ആഫ്രിക്കാൻസ്,африкаанс,af,अफ्रिकान्स,Afrikaans,Afrikans,af,တောင်အာဖရိက,آفریکانس,af,afrikaans,af,अफ्रिकान्स,Afrikaans,af,afrikaans,af,afrikaans,af,af,Afrikoota,ଆଫ୍ରିକୀୟ,африкаанс,ਅਫ਼ਰੀਕੀ,Áfríkaans Lángwej,afrikaans,افریکانسي,africâner,Afrikaans Simi,afrikaans,af,afrikaans,af,африкаанс,Ikinyafurikaneri,af,af,Аппырыкааныстыы,af,af,af,afrikaans,آفريڪي,afrikánsagiella,af,af,af,af,අෆ්‍රිකාන්ස්,afrikánčina,afrikanščina,afrikaans,af,Afrikaanka,afrikanisht,африканс,af,afrikaans,Kiafrikana,ஆஃப்ரிகான்ஸ்,ఆఫ్రికాన్స్,af,африкаанс,แอฟริกานส์,ኣፍሪካንስ,afrikaans dili,lea fakaʻafilikana,Afrikaanca,африкаанс,af,af,ئافرىكانچە,африкаанс,افریقی,afrikaans,af,Tiếng Afrikaans,af,Afrikáns,Afrikaans,af,af,af,אַפֿריקאַנס,Èdè Afrikani,南非荷蘭文,af,南非荷兰语,i-Afrikaans
agq,Aghem,Aghem,agq,አገም,الأغم,আঘেম,agq,aghem,aqhem,agq,агем,agq,agq,агем,agq,এঘেম,agq,aghem,agq,aghem,aghem,𑄃𑄬𑄊𑄟𑄴,агхӀем,agq,agq,ᎠᎨᎹ,ئاگێم,aghem,Aghemeg,aghem,agq,Aghem,agq,agq,aghem,agq,agq,agq,agq,aghemgbe,Αγκέμ,Aghem,agq,aghem,aghemi,aghemera,agq,آگیم,agq,aghem,Aghem,aghem,aghem,agq,Aghem,Aigeimis,Aghem,aghem,agq,અઘેમ,agq,agq,Aghem,agq,אע׳ם,अग्हेम,aghem,aghemšćina,agem,աղեմ,aghem,Aghem,Aghem,agq,aghem,aghem,アゲム語,agq,agq,Aghem,აღემი,agq,agq,agq,aghem,agq,agq,агем тілі,agq,agq,agq,អាហ្គីម,ಅಘೆಮ್,아그햄어,अघेम,agq,agq,agq,Aghehmesch,agq,agq,агемче,agq,Aghem,agq,agq,agq,ອາເຮັມ,آقئم,aghemų,agq,agq,agq,aghemu,agq,agq,agq,agq,agq,agq,agq,agq,агемски,ആഘേം,агем,agq,अघेम,Aghem,Aghem,agq,အာဂ်ဟိန်း,آقم,agq,aghem,agq,आघेम,Aghem,agq,aghem,agq,aghem,agq,agq,agq,ଆଘେମ,agq,ਅਗੇਮ,Aghẹ́m Lángwej,aghem,اغیمي,aghem,Aghem Simi,aghem,agq,aghem,agq,агем,agq,agq,agq,agq,agq,agq,agq,aghem,اگهيم,agq,agq,agq,agq,agq,ඇගම්,aghem,aghemščina,aghem,agq,Ageem,agemisht,агем,agq,aghem,Kiaghem,அகெம்,అగేమ్,agq,agq,อักเฮม,ኣገም,ahem dili,lea fakaʻakihemi,Aghem,agq,agq,agq,ئاگەمچە,агем,اغم,agem,agq,Tiếng Aghem,agq,agq,agq,agq,agq,agq,agq,Èdè Ágẹ̀ẹ̀mù,亞罕文,agq,亚罕语,isi-Aghem
ak,Akan,Akan,Akan,አካንኛ,الأكانية,আকান,Kiakan,akan,akan,Hɔp u akan,акан,Ichi Akan,Hiakan,акан,akankan,আকান,ak,akan,अकन,akan,àkan,𑄃𑄇𑄚𑄴,акан,ak,Orukani,ᎠᎧᎾ,ئاکان,akanština,Acaneg,akan,Kiakan,Akan,Akan senni,ak,akanšćina,ak,akan,ak,Kĩakan,blugbe,Ακάν,Akan,ak,akan,akani,akanera,Ǹkɔ́bɔ akán,آکان,Akaan,akan,Akan,akan,akan,ak,Akan,Acáinis,Akan,akan,Akan,અકાન,Kiakan,ak,Akan,ak,אקאן,अकन,akanski,akanšćina,akan,աքան,akan,Akan,Akan,ak,akan,akan,アカン語,ak,Kiakanyi,Akan,აკანი,Takanit,Kiakan,Chakan,akan,Akan senni,Kiakan,акан тілі,ak,ak,kutitab Aka,អាកាន,ಅಕಾನ್,아칸어,अकान,اَکان,Kiakan,riakan,Akahnesch,ak,ak,аканча,Kɨakáani,Akan,Lu-akaani,ak,akan,ອາການ,آکان,akanų,Liakan,Kiakan,Kiakan,akanu,ak,nkʉtʉ́k ɔ́ɔ̄ lAkan,Kĩakani,akan,Akan,Ikan,ak,ak,акански,അകാൻ‌,акан,ak,अकान,Akan,Akan,akaŋ,အာကန်,آکان,Akangowab,akan,isi-Akhani,आकान,Akan,Kiɛl akan,akan,ak,akan,Thok aka̱ni,Orukani,ak,ଅକନ୍,ak,ਅਕਾਨ,Akan Lángwej,akan,اکاني,akan,Akan Simi,akan,Igikani,akan,Kiakani,акан,ak,Kiakanyi,ak,ak,Kiakan,ak,Ishiyakani,akan,اڪان,ak,akan,Akan senni,Akâan,ⵜⴰⴽⴰⵏⵜ,අකාන්,akančina,akanščina,akankielâ,chiAkani,Akan,akanisht,акански,ak,akan,Kiakani,அகான்,అకాన్,Kiakan,ak,อาคาน,ኣካን,akan dili,lea fakaʻakani,Akan,ak,Akan senni,Takanit,ئاكانچە,акан,اکان,akan,ꕉꕪꘋ,Tiếng Akan,Kiakanyi,ak,ak,ak,Oluakaani,akánɛ,ak,Èdè Akani,阿坎文,ⵜⴰⴽⴰⵏⵜ,阿肯语,isi-Akan
am,Amharies,Àmalì,Amarik,አማርኛ,الأمهرية,আমহাৰিক,Kiamhari,amháricu,amhar,Hɔp u amhārìk,амхарская,Ichi Amhari,Hiamhari,амхарски,amarikikan,আমহারিক,am,amhareg,अम्हारिक्,amharski,amhàric,𑄃𑄟𑄴𑄦𑄢𑄨𑄇𑄴,амхаройн,am,Orumariki,ᎠᎹᎭᎵᎩ,ئەمھەری,amharština,Amhareg,amharisk,Kiamhari,Amharisch,Amhaarik senni,am,amharšćina,am,amharik,ཨམ་ཧ་རིཀ་ཁ,Kĩamhari,amhariagbe,Αμχαρικά,Amharic,amhara,amárico,amhara,amharera,Ǹkɔ́bɔ amária,امهری,Amarik,amhara,Amharic,amhariskt,amharique,amaric,Amhaarsk,Amáiris,Amtharais,amhárico,Amharisch,એમ્હારિક,Kiamhari,am,Amharik,am,אמהרית,अम्हेरी,amharski,amharšćina,amhara,ամհարերեն,amharico,Amharik,Amariikị,am,amharíska,amarico,アムハラ語,am,Kiamharyi,Amharik,ამჰარული,Tamahrict,Kiamhari,Chamhali,amáriku,Amhaarik senni,Kiamhari,амхар тілі,am,am,kutitab Amariek,អាំហារិក,ಅಂಹರಿಕ್,암하라어,अमहारिक्,اَمہاری,Kiamhali,riamarik,Amhahresch,amharî,am,амхарча,Kɨmʉháari,Amharesch,Lu-amhariki,Amharic Iyápi,liamariki,ອຳຮາຣິກ,أمھأری,amharų,Liamhariki,Kiamhari,Kiamhari,amharu,am,nkʉtʉ́k ɔ́ɔ̄ lAmhari,Kĩamarĩki,amarik,Amharika,Imhari,am,am,амхарски,അംഹാരിക്,амхар,am,अम्हारिक,Amharic,Amhariku,amharik,အမ်ဟာရစ်ခ်,امهری,Amharicgowab,amharisk,isi-Amaharikhi,अम्हारिक,Amhaars,Kiɛl amaria,amharisk,am,amharisk,Thok bunyni,Orumariki,Afaan Sidaamaa,ଆମହାରକି,am,ਅਮਹਾਰਿਕ,Amhárík Lángwej,amharski,امهاري,amárico,Amarico Simi,amaric,Ikimuhariki,amharică,Kiamhari,амхарский,Inyamuhariki,Kiamharyi,am,Амхаардыы,Kiamhari,am,Ishiyamuhali,amàricu,امهاري,am,amárico,Amhaarik senni,Amarîki,ⵜⴰⵎⵀⴰⵔⵉⵜ,ඇම්හාරික්,amharčina,amharščina,amharakielâ,chiAmaric,Axmaari,amarisht,амхарски,am,amhariska,Kiamhari,அம்ஹாரிக்,అమ్హారిక్,Kiamhari,амҳарӣ,อัมฮารา,ኣምሓርኛ,amhar dili,lea fakaʻameliki,Amharca,амхар,Amhaarik senni,Tamharit,ئامھارچە,амхарська,امہاری,amxar,ꕉꕆꕌꔸ,Tiếng Amharic,Kiamharyi,Amhariš,Amharik,am,Oluamhariki,amalíke,אַמהאַריש,Èdè Amariki,阿姆哈拉文,ⵜⴰⵎⵀⴰⵔⵉⵜ,阿姆哈拉语,isi-Amharic
ar,Arabies,Àlabì,Arabik,ዓረብኛ,العربية,আৰবী,Kiarabu,árabe,ərəb,Hɔp u arâb,арабская,Ichi Arab,Hiharabu,арабски,larabukan,আরবী,ar,arabeg,अरबी,arapski,àrab,𑄃𑄢𑄧𑄝𑄩,Ӏаьрбийн,Arabic,Oruharabu,ᎡᎳᏈ,عەرەبی,arabština,Arabeg,arabisk,Kiarabu,Arabisch,Laaraw senni,ar,arabšćina,ar,arab,ཨེ་ར་བིཀ་ཁ,Kĩarabu,Arabiagbe,Αραβικά,Arabic,araba,árabe,araabia,arabiera,Ǹkɔ́bɔ arábia,عربی,Aarabeere,arabia,Arabic,arabiskt,arabe,arap,Arabysk,Araibis,Arabais,árabe,Arabisch,અરબી,Kiarabu,ar,Larabci,ʻAlapia,ערבית,अरबी,arapski,arabšćina,arab,արաբերեն,arabe,Arab,Arabiikị,ar,arabíska,arabo,アラビア語,Alâbɛ,Kyiarabu,Arab,არაბული,Taɛrabt,Kiarabu,Chalabu,árabi,Laaraw senni,Kĩarabu,араб тілі,ar,ar,kutitab Arabuk,អារ៉ាប់,ಅರೇಬಿಕ್,아랍어,अरेबिक,عربی,Kialabu,riarab,Arahbesch,erebî,ar,арабча,Kɨaráabu,Arabesch,Luwarabu,Arab Iyápi,lialabo,ອາຣັບ,أرأڤی,arabų,Arabi,Kiarabu,Kiarabu,arābu,ar,nkʉtʉ́k ɔ́ɔ̄ lmarabu,Kĩarabu,arab,Arabo,Iarabu,ar,ar,арапски,അറബിക്,араб,ar,अरबी,Arab,Għarbi,arabiya,အာရဗီ,عربی,Arabiǁî gowab,arabisk,isi-Alabhu,अरबी,Arabisch,Kiɛl b’árabe,arabisk,ar,arabisk,Thok Jalabni,Oruharabu,Arabiffaa,ଆରବିକ୍,араббаг,ਅਰਬੀ,Arábík Lángwej,arabski,عربي,árabe,Arabe Simi,arab,Icarabu,arabă,Kiarabu,арабский,Icyarabu,Kyiarabu,ar,Араабтыы,Kiarabu,ar,Ishiyalabu,àrabu,عربي,arábagiella,árabe,Laaraw senni,Arâbo,ⵜⴰⵄⵔⴰⴱⵜ,අරාබි,arabčina,arabščina,arabiakielâ,chiArabu,Carabi,arabisht,арапски,ar,arabiska,Kiarabu,அரபிக்,అరబిక్,Kiarabu,арабӣ,อาหรับ,ዓረብ,arap dili,lea fakaʻalepea,Arapça,гарәп,Laaraw senni,Taεrabt,ئەرەبچە,арабська,عربی,arab,ꕞꕌꖝ,Tiếng Ả Rập,Kyiarabu,Arabiš,Araab,ar,Oluwarabu,́pakas,אַראַביש,Èdè Árábìkì,阿拉伯文,ⵜⴰⵄⵔⴰⴱⵜ,阿拉伯语,isi-Arabic
as,Assamees,as,as,አሳሜዛዊ,الأسامية,অসমীয়া,as,asamés,assam,as,асамская,as,as,асамски,as,অসমীয়া,as,asameg,असामी,asamski,assamès,𑄃𑄥𑄟𑄨,ассамийн,as,as,ᎠᏌᎻᏏ,ئاسامی,ásámština,Asameg,assamesisk,as,Assamesisch,as,as,asamšćina,as,as,ཨ་ས་མིས་ཁ,as,assamegbe,Ασαμικά,Assamese,asama,asamés,assami,assamera,as,آسامی,as,assami,Assamese,assamesiskt,assamais,assamês,Assameesk,Asaimis,Asamais,assamés,Assamesisch,આસામી,as,as,Asamisanci,as,אסאמית,असमिया,asamski,asamšćina,asszámi,ասամերեն,assamese,Assam,as,as,assamska,assamese,アッサム語,as,as,Assam,ასამური,as,as,as,asames,as,as,ассам тілі,as,as,as,អាសាមីស,ಅಸ್ಸಾಮೀಸ್,아삼어,आसामी,اسٲمۍ,as,as,Aßamehsesch,asamî,as,ассамча,as,Assamesesch,as,Assamese Iyápi,as,ອັສຊາມີສ,آسامی,asamų,as,as,as,asamiešu,as,as,as,as,as,as,as,as,асамски,ആസ്സാമീസ്,ассам,as,आसामी,Assam,Assamiż,as,အာသံ,آسامی,as,assamesisk,as,आसामी,Assamees,as,assamesisk,as,assamesisk,as,as,as,ଆସାମୀୟ,as,ਅਸਾਮੀ,Asamíz Lángwej,asamski,اسامي,assamês,Asames Simi,assami,as,asameză,as,ассамский,Icyasamizi,as,as,as,as,as,as,assamesu,آسامي,as,as,as,as,as,ඇසෑම්,ásamčina,asamščina,assamkielâ,as,Asaamiis,asamezisht,асамски,as,assamesiska,Kiassam,அஸ்ஸாமீஸ்,అస్సామీస్,as,ассомӣ,อัสสัม,ኣሳሜዝኛ,assam dili,lea fakaʻasamia,Assamca,ассам,as,as,ئاسامچە,асамська,آسامی,assam,as,Tiếng Assam,as,Assamesiš,Asame,as,as,as,אַסאַמיש,Èdè Ti Assam,阿薩姆文,as,阿萨姆语,isi-Assamese
asa,Asu,asa,asa,አሱ,الآسو,আছু,Kipare,asu,asu,asa,асу,asa,asa,асу,asa,আসু,asa,asu,asa,asu,pare,𑄃𑄥𑄪,асу,asa,asa,ᎠᏑ,ئاسوو,asu,Asw,asu,asa,Asu,asa,asa,pare,asa,asa,asa,asa,asagbe,Άσου,Asu,asa,asu,asu,asu,asa,آسو,asa,asu,Asu,asu,asu,asa,Asu,Asúis,Asu,asu,asa,અસુ,asa,asa,Asu,asa,אסו,असु,asu,pare,asu,ասու,asu,Asu,Asụ,asa,asu,asu,アス語,asa,asa,Asu,ასუ,asa,asa,asa,asu,asa,asa,асу тілі,asa,asa,asa,អាស៊ូ,ಅಸು,아수어,असु,asa,asa,asa,Pare,asa,asa,асуча,asa,Asu [Tanzania],asa,asa,asa,ອາຊູ,آسوٙ,asu,asa,asa,asa,asu,asa,asa,asa,asa,asa,asa,asa,asa,асу,ആസു,асу,asa,असु,Asu,Asu,asa,အာစု,آسو,asa,asu,asa,आसु,Asu,asa,asu [Tanzania],asa,asu,asa,asa,asa,ଆସୁ,asa,ਅਸੂ,Asu Lángwej,asu,اسويي,asu,Asu Simi,asu,asa,asu,asa,асу,asa,asa,asa,asa,asa,asa,asa,asu,اسو,asa,asa,asa,asa,asa,අසු,asu,asujščina,asukielâ,asa,Asu,asuisht,асу,asa,asu,Kiasu,அசு,అసు,asa,asa,อาซู,ኣሱ,asu dili,lea fakaʻasu,Asu,asa,asa,asa,ئاسۇچە,асу,آسو,asu,asa,Tiếng Asu,asa,asa,asa,asa,asa,asa,asa,Èdè Asu,阿蘇文,asa,帕雷语,isi-Asu
ast,Asturies,ast,ast,አስቱሪያን,الأسترية,এষ্টুৰীয়,ast,asturianu,asturiya,ast,астурыйская,ast,ast,астурски,ast,আস্তুরিয়,ast,asturianeg,ast,asturijski,asturià,𑄃𑄌𑄴𑄖𑄪𑄢𑄨𑄠𑄧,астурийн,ast,ast,ᎠᏍᏚᎵᎠᏂ,ئاستۆری,asturština,Astwrianeg,asturisk,ast,Asturisch,ast,ast,asturšćina,ast,ast,ast,ast,ast,Αστουριανά,Asturian,ast,asturiano,astuuria,asturiera,ast,آستوری,ast,asturia,Asturian,asturianskt,asturien,asturian,Asturysk,Astúiris,Astùrais,asturiano,Aschturianisch,અસ્તુરિયન,ast,ast,Asturia,ast,אסטורית,अस्तुरियन,asturijski,asturšćina,asztúr,աստուրերեն,asturiano,Asturia,ast,ast,astúríska,asturiano,アストゥリアス語,ast,ast,Asturia,ასტურიული,ast,ast,ast,asturianu,ast,ast,астурия тілі,ast,ast,ast,អាស្ទូរី,ಆಸ್ಟುರಿಯನ್,아스투리아어,अस्टुरियान,ایسٹوٗریَن,ast,ast,Astuhrejahnesch,astûrî,ast,астурийче,ast,Asturianesch,ast,ast,ast,ອັສຕູຮຽນ,ast,asturianų,ast,ast,ast,astūriešu,ast,ast,ast,ast,ast,ast,ast,ast,астурски,ഓസ്‌ട്രിയൻ,астури,ast,अस्तुरियन,Asturia,Asturian,ast,အက်စ်တိုးရီးယား,ast,ast,asturisk,ast,अस्टुरियाली,Asturisch,ast,asturisk,ast,asturisk,ast,ast,ast,ଆଷ୍ଟୁରିଆନ୍,ast,ਅਸਤੂਰੀ,Astúriá Lángwej,asturyjski,استورياني,asturiano,Asturiano Simi,asturian,ast,asturiană,ast,астурийский,ast,ast,ast,Астуурдуу,ast,ast,ast,asturianu,اسٽورين,asturiagiella,ast,ast,ast,ast,ඇස්ටියුරියන්,astúrčina,asturijščina,asturiakielâ,ast,Astuuriyaan,asturisht,астуријски,ast,asturiska,Kiasturia,அஸ்துரியன்,ఆస్టూరియన్,ast,ast,อัสตูเรียส,ኣስቱርያን,asturiý dili,lea fakaʻasitūlia,Asturyasça,ast,ast,ast,ئاستۇرىيەچە,астурійська,اسٹوریائی,asturiy,ast,Tiếng Asturias,ast,ast,ast,ast,ast,ast,ast,Èdè Asturian,阿斯圖里亞文,ast,阿斯图里亚斯语,isi-Asturian
az,Azerbeidjans,az,az,አዘርባጃንኛ,الأذربيجانية,আজেৰবাইজানী,az,azerbaixanu,azərbaycan,az,азербайджанская,az,az,азербайджански,az,আজারবাইজানী,az,azerbaidjaneg,अज़रबैजानी,azerbejdžanski,azerbaidjanès,𑄃𑄎𑄢𑄴𑄝𑄳𑄆𑄎𑄚𑄩,азербайджанийн,az,az,ᎠᏎᏆᏣᏂ,ئازەربایجانی,ázerbájdžánština,Aserbaijaneg,aserbajdsjansk,az,Aserbaidschanisch,az,az,azerbajdžanšćina,az,az,ཨ་ཛར་བྷའི་ཇཱན་ཁ,az,azerbaijangbe,Αζερμπαϊτζανικά,Azerbaijani,azerbajĝana,azerbaiyano,aserbaidžaani,azerbaijanera,az,ترکی آذربایجانی,az,azeri,Azerbaijani,aserbajdsjanskt,azerbaïdjanais,azerbaijani,Azerbeidzjaansk,Asarbaiseáinis,Asarbaideànais,acerbaixano,Aserbaidschanisch,અઝરબૈજાની,az,az,Azerbaijanci,az,אזרית,अज़रबैजानी,azerbajdžanski,azerbajdźanšćina,azerbajdzsáni,ադրբեջաներեն,azerbaidzhano,Azerbaijani,Azerbajanị,az,aserska,azerbaigiano,アゼルバイジャン語,az,az,Azerbaijan,აზერბაიჯანული,az,az,az,azerbaijanu,az,az,әзірбайжан тілі,az,az,az,អាស៊ែបៃហ្សង់,ಅಜೆರ್ಬೈಜಾನಿ,아제르바이잔어,अज़रबैजानी,اَزَربیجانی,az,az,Asserbaidschahnesch,azerî,az,азербайжанча,az,Aserbaidschanesch,az,Azerbaijani Iyápi,az,ອາເຊີໄບຈານິ,آذأربایئجانی ھارگە,azerbaidžaniečių,az,az,az,azerbaidžāņu,az,az,az,az,az,az,az,az,азербејџански,അസർബൈജാനി,азербайжан,az,अझरबैजानी,Azerbaijan,Ażerbajġani,az,အဇာဘိုင်ဂျန်,آذری ِترکی,az,aserbajdsjansk,az,अजरबैजानी,Azerbeidzjaans,az,aserbajdsjansk,az,aserbajdsjansk,az,az,Afaan Azerbaijani,ଆଜେରବାଇଜାନି,тӕтӕйраг,ਅਜ਼ਰਬਾਈਜਾਨੀ,Azẹrbaijáni Lángwej,azerbejdżański,اذربایجاني,azerbaijano,Azerbaiyano Simi,aserbeidschanic,az,azeră,az,азербайджанский,Inyazeribayijani,az,az,Адьырбайдьаанныы,az,az,az,azerbaigianu,آزربائيجاني,az,az,az,az,az,අසර්බයිජාන්,azerbajdžančina,azerbajdžanščina,azerbaidžankielâ,az,Asarbayjan,azerbajxhanisht,азербејџански,az,azerbajdzjanska,Kiazerbaijani,அசர்பைஜானி,అజర్బైజాని,az,озарбойҷонӣ,อาเซอร์ไบจาน,ኣዘርባጃንኛ,azerbaýjan dili,lea fakaʻasapaisani,Azerbaycan dili,әзәрбайҗан,az,az,ئەزەربەيجانچە,азербайджанська,آذربائیجانی,ozarbayjon,az,Tiếng Azerbaijan,az,Serbaidšaniš,Aserbayjane,az,az,az,אַזערביידזשאַניש,Èdè Azerbaijani,亞塞拜然文,az,阿塞拜疆语,isi-Azerbaijani
